"Add to Compare","Compare"
"Reviews %1","(%1)"
"Sign Up for Our Newsletter:","Subscribe for special offers & Savings"
"Excluding Tax", "Ex VAT"
"Including Tax", "Inc VAT"
"Search entire store here...", "What can we help you look for?"
"Registered Customers", "Sign In"
"New Customers", "Create an Account"
"Sign Up for Newsletter", "Sign Up to Our Newsletter and get exclusive Special Offers, Money Saving Promotions & News on the next Free Delivery event."
"Create New Customer Account", "Create an Account"
"My Dashboard","Account Dashboard"
"Summary", "Order Summary"
"Shopping Cart", "Your Shopping Trolley"
"Order Total", "Total"
"Proceed to Checkout", "Checkout Securely"
"Move to Wishlist", "Save for later"
"Shop Finder", "Stores"
"Shop By", "Filter By"
"More", "View More"
"Less", "View Less"
"Add to Cart", "Add to Trolley"
"Items Found", "Products"
"Toggle Nav", "Menu"
"Forgot Your Password?", "Forgotten Password?"
"Email", "Email Address"
"Confirm Password", "Re-enter Password"
"My Wish Lists", "My Saved Items"
"Wish List", "Saved For Later"
"Add All to Cart", "Add all to trolley"
"Share Wish List", "Share list"
"Update Wish List", "Update List"
"Grand Total", "Total"
"You added %s to your shopping cart.", "You added %s to your trolley."
"You added %1 to your shopping cart.", "You added %1 to your trolley."
